ID,NOMBRE,NOMBRE_CIUDAD,DIRECCION,ID_ESTADO,NOMBRE_ESTADO,NUM_DERBIS,NUM_LIBRES,NUM_OCUPADOS,LAT,LON,ID_EXTERNO
"10","01-Pz. Marina","MALAGA","Plaza de la Marina 1 Málaga","5","Con incidencia","255","42","5",36.718507,-4.420138,"1"
"18","02-Pz. Torrijos","MALAGA","Plaza de Torrijo","5","Con incidencia","30","13","16",36.720893,-4.410078,"2"
"5","03-Pza.Jesús el Rico","MALAGA","Plaza Jesús el Rico","5","Con incidencia","255","15","5",36.723308,-4.417041,"3"
"11","04-C.A.C.","MALAGA","Av. Comandante Benítez (Centro de Arte Contemporáneo)","5","Con incidencia","24","11","12",36.71543,-4.425562,"4"
"8","05-E. Usos Mult.","MALAGA","Paseo Antonio Machado (Edif. Usos Múltiples)","0","Correcto","27","8","19",36.70994, -4.427964,"5"
"3","06-Princesa","MALAGA","Paseo Antonio Machado (C/ Princesa)","5","Con incidencia","255","10","17",36.699694,-4.43573,"6"
"6","07-Diputación","MALAGA","Paseo Antonio Banderas (Diputación)","5","Con incidencia","24","5","17",36.689061,-4.442755,"7"
"12","08-Mnez. Maldonado","MALAGA","C/ Martínez Maldonado (Junta de distrito 4)","5","Con incidencia","255","10","14",36.721596,-4.438069,"8"
"7","09-Cdad. Deportiva","MALAGA","Avda. Santa Rosa de Lima (Ciudad Deportiva)","5","Con incidencia","255","26","4",36.721244,-4.448941,"9"
"1","10-G. Ginachero","MALAGA","Av. Dr. Gálvez Ginachero.","5","Con incidencia","24","12","7",36.726922,-4.427657,"10"
"9","11-Cdad. Jardín","MALAGA","Polideportivo Ciudad Jadín","5","Con incidencia","24","19","3",36.749820,-4.423711,"11"
"15","12-Rectorado","MALAGA","Av.Cervantes (Rectorado)","0","Correcto","24","14","10",36.719897,-4.416343,"12"
"26","13-Av. Andalucia","MALAGA","Avda Andalucía (plaza de Manuél Alcántara)","5","Con incidencia","255","15","7",36.717187,-4.430084,"13"
"2","14-Est. Autobuses","MALAGA","Estación de Autobuses","5","Con incidencia","255","7","10",36.71276,-4.432968,"14"
"20","15-Col. Sta. Inés","MALAGA","Navarro Ledesma ( Colonia Sta. Inés )","5","Con incidencia","27","22","4",36.724267,-4.470409,"15"
"21","16-Cdad. Justicia","MALAGA","Bulevar Luis Pasteur (Ciudad de la Justicia)","5","Con incidencia","255","20","5",36.718124,-4.463405,"16"
"16","17-Pso. Farola","MALAGA","C/ Velez Málaga (Paseo de la farola)","5","Con incidencia","255","13","8",36.718577,-4.411662,"17"
"14","18-Marmoles","MALAGA","C/. Mármoles (Esq. C/. Jaboneros)","5","Con incidencia","21","5","14",36.721803,-4.428937,"18"
"13","19-Arroyo Ángeles","MALAGA","Arroyo de los Ángeles","5","Con incidencia","21","15","1",36.731595,-4.436969,"19"
"4","20-Barbarela","MALAGA","Avenida Juan XXIII ( Barbarela )","5","Con incidencia","255","10","12",36.711781,-4.445869,"20"
"22","21-Baños del Carmen","MALAGA","Avda Pintor Joaquín Sorolla, 119","5","Con incidencia","45","14","21",36.721221,-4.386125,"21"
"27","22-Avda.Velázquez","MALAGA","Avda. Velázquez (Bda.La Paz-La Luz)","2","Por debajo del % estipulado","27","22","5",36.694401,-4.452416,"27"
"23","23-Subestación Autobuses Interurbanos","MALAGA","Avd. Manuel Agustín Heredia (Subestación Autobuses Interurbanos)","5","Con incidencia","15","6","8",36.715627,-4.421376,"23"
"28","24-El Palo-Echeverría","MALAGA","Avda. Juan Sebastián Elcano nº 174","0","Correcto","27","15","12",36.721166, -4.361931,"24"
"25","25-pruebas","MALAGA","Navarro ledesma","6","Sin Conexión","27","14","12",36.724267,-4.470409,"25"
